date;close;tradecount;close
07/09/2019 00:00;1,04559E+12;272011;10298,73
06/09/2019 00:00;1,02987E+12;455334;10564,49
05/09/2019 00:00;1,05645E+12;309846;10567,02
04/09/2019 00:00;1,0567E+12;383457;10615,28
03/09/2019 00:00;1,06153E+12;416076;10340
02/09/2019 00:00;1,034E+12;354155;9724,98
01/09/2019 00:00;9,72498E+11;191324;9587,47
31/08/2019 00:00;9,58747E+11;199188;9584,54
30/08/2019 00:00;9,58454E+11;259270;9498,44
29/08/2019 00:00;9,49844E+11;343887;9721
28/08/2019 00:00;9,721E+11;381293;10185,05
27/08/2019 00:00;1,01851E+12;292888;10372,25
26/08/2019 00:00;1,03723E+12;405316;10142,69
25/08/2019 00:00;1,01427E+12;289956;10134,35
24/08/2019 00:00;1,01344E+12;313227;10389,55
23/08/2019 00:00;1,03896E+12;326866;10099,88
22/08/2019 00:00;1,00999E+12;401148;10142,57
21/08/2019 00:00;1,01426E+12;458814;10760,51
20/08/2019 00:00;1,07605E+12;305065;10915,54
19/08/2019 00:00;1,09155E+12;337022;10306,78
18/08/2019 00:00;1,03068E+12;265705;10216,02
17/08/2019 00:00;1,0216E+12;332795;10331,54
16/08/2019 00:00;1,03315E+12;504740;10293,93
15/08/2019 00:00;1,02939E+12;373368;10050,37
14/08/2019 00:00;1,00504E+12;534507;10892,71
13/08/2019 00:00;1,08927E+12;337834;11396,08
12/08/2019 00:00;1,13961E+12;255966;11549,97
11/08/2019 00:00;1,155E+12;306234;11309,31
10/08/2019 00:00;1,13093E+12;399237;11879,99
09/08/2019 00:00;1,188E+12;410902;11999,77
08/08/2019 00:00;1,19998E+12;473584;11975,03
07/08/2019 00:00;1,1975E+12;592916;11481,69
06/08/2019 00:00;1,14817E+12;625827;11828,8
05/08/2019 00:00;1,18288E+12;622610;10929,23
04/08/2019 00:00;1,09292E+12;353721;10816,86
03/08/2019 00:00;1,08169E+12;348893;10523,75
02/08/2019 00:00;1,05238E+12;431322;10374,99
01/08/2019 00:00;1,0375E+12;378062;10080,53
31/07/2019 00:00;1,00805E+12;364212;9574,21
30/07/2019 00:00;9,57421E+11;283961;9507,64
29/07/2019 00:00;9,50764E+11;294468;9541,54
28/07/2019 00:00;9,54154E+11;271327;9476,52
27/07/2019 00:00;9,47652E+11;401418;9824
